1247,75,42
1252,74,42
1256,69,42
1262,69,42
1263,69,42
1268,69,42
1273,69,42
1278,69,43
1285,69,43
1291,71,43
1298,69,43
1300,69,43
1305,68,44
1310,64,44
1315,63,44
1320,64,44
1325,63,44
1330,63,44
1335,63,45
1344,63,45
1345,63,45
1351,63,45
1356,63,45
1361,64,45
1371,73,46
1376,68,46
1377,67,46
1382,65,46
1388,64,46
1393,63,46
1398,62,47
1403,63,47
1409,63,47
1414,63,47
1419,63,47
1424,63,47
1430,63,48
1435,63,48
1440,63,48
1445,63,48
1450,65,48
1456,66,49
1460,67,49
1465,68,49
1470,68,49
1478,62,49
1480,61,49
1485,62,50
1490,61,50
1495,61,50
1500,61,50
1505,62,50
1511,65,50
1516,66,51
1521,62,51
1526,62,51
1534,61,51
1536,62,51
1545,61,52
1546,60,52
1552,61,52
1557,61,52
1562,63,52
1567,62,52
1573,62,52
1578,62,53
1588,62,53
1589,62,53
1594,62,53
1599,62,53
1604,62,53
1610,61,54
1615,62,54
1620,62,54
1625,63,54
1632,63,54
1640,62,55
1641,62,55
1646,61,55
1652,62,55
1657,62,55
1662,61,55
1667,61,56
1673,61,56
1678,61,56
1684,61,56
1688,61,56
1694,61,56
1699,61,57
1705,66,57
1710,68,57
1715,68,57
1723,67,57
1729,60,58
1732,59,58
1737,59,58
1742,60,58
1747,60,58
1753,59,58
1758,59,59
1763,59,59
1768,59,59
1774,59,59
1778,59,59
1783,59,59
1788,59,60
1793,59,60
1799,59,60
1803,59,60
1809,59,60
1814,61,60
1823,66,61
1829,65,61
1831,64,61
1835,65,61
1842,66,61
1850,62,62
1851,62,62
1856,59,62
1865,57,62
1866,57,62
1875,58,63
1877,59,63
1882,59,63
1887,59,63
1893,59,63
1898,59,63
1903,59,63
1908,59,64
1918,59,64
1919,60,64
1924,60,64
1930,59,64
1935,60,65
1940,60,65
1945,60,65
1951,61,65
1957,61,65
1962,61,65
1967,60,66
1977,60,66
1978,60,66
1984,66,66
1988,62,66
1994,59,66
1999,59,67
2004,58,67
2009,58,67
2014,59,67
2019,59,67
2026,59,68
2029,59,68
2035,59,68
2040,59,68
2049,59,68
2050,60,68
2055,59,69
2060,59,69
2065,59,69
2070,59,69
2075,59,69
2080,59,69
2090,59,70
2091,59,70
2096,59,70
2101,59,70
2106,58,70
2112,58,70
2117,59,71
2122,59,71
2127,59,71
2133,59,71
2141,58,71
2143,58,71
2149,57,72
2154,58,72
2159,58,72
2164,58,72
2170,58,72
2175,58,73
2180,58,73
2185,58,73
2195,59,73
2200,60,73
2201,60,73
2207,60,74
2212,59,74
2217,57,74
2225,58,74
2231,58,74
2233,58,74
2238,58,75
2243,57,75
2249,56,75
2254,56,75
2262,57,75
2264,57,75
2270,58,76
2275,58,76
2280,58,76
2285,58,76
2291,57,76
2296,57,77
2301,57,77
2310,57,77
2312,57,77
2317,57,77
2322,57,77
2327,57,78
2337,58,78
2338,58,78
2343,57,78
2348,56,78
2354,56,78
2359,56,79
2364,56,79
2370,56,79
2376,56,79
2384,57,79
2385,57,80
2391,57,80
2396,57,80
2402,57,80
2408,57,80
2412,57,80
2421,62,81
2426,60,81
2430,58,81
2433,57,81
2441,56,81
2446,57,82
2452,58,82
2454,58,82
2459,58,82
2464,59,82
2470,63,82
2477,66,83
2480,65,83
2487,64,83
2491,61,83
2499,55,83
2502,55,83
2508,55,84
2517,57,84
2518,58,84
2527,58,84
2528,58,84
2533,57,84
2542,56,85
2543,56,85
2548,56,85
2557,57,85
2562,58,85
2563,58,85
2568,59,86
2574,58,86
2579,58,86
2589,58,86
2590,58,86
2595,59,87
2600,59,87
2606,59,87
2612,59,87
2616,61,87
2625,64,88
2629,62,88
2632,62,88
2637,62,88
2646,59,88
2647,59,88
2653,63,88
2658,64,89
2663,68,89
2670,64,89
2675,83,89
2683,71,89
2685,71,90
2692,64,90
2698,62,90
2699,62,90
2704,63,90
2712,62,90
2715,62,91
2720,61,91
2725,59,91
2731,59,91
2736,59,91
2742,59,91
2751,58,92
2752,58,92
2757,57,92
2764,57,92
2767,57,92
2773,58,92
2778,59,93
2783,59,93
2788,58,93
2794,58,93
2803,59,93
2804,59,93
2809,59,94
2815,58,94
2820,58,94
2826,58,94
2831,59,94
2836,58,95
2841,58,95
2848,57,95
2852,57,95
2857,57,95
2862,58,95
2867,59,96
2873,59,96
2878,59,96
2883,59,96
2888,59,96
2894,59,96
2899,59,97
2904,59,97
2909,65,97
2916,59,97
2923,59,97
2924,59,97
2930,59,98
2935,59,98
2940,59,98
2945,59,98
2950,59,98
2956,59,99
2961,58,99
2966,58,99
2972,58,99
2977,59,99
2982,59,99
2987,59,100
2993,59,100
2998,59,100
3003,59,100
3008,59,100
3014,59,100
3019,59,101
3024,59,101
3029,59,101
3034,59,101
3043,59,101
3044,59,101
3050,60,102
3055,59,102
3064,58,102
3069,59,102
3071,59,102
3076,59,103
3081,60,103
3086,60,103
3092,60,103
3097,60,103
3102,60,103
3107,60,104
3113,60,104
3118,60,104
3123,60,104
3128,60,104
3133,60,104
3138,60,105
3143,60,105
3149,60,105
3154,60,105
3159,60,105
3164,60,105
3170,59,106
3175,60,106
3180,60,106
3185,60,106
3191,60,106
3196,60,107
3201,60,107
3207,67,107
3214,65,107
3217,65,107
